subject,labels(n),r,r-type,object
"{""uri"":bnode://node1f07tfve2x1174}","[Resource,owl__Restriction]",{},owl__someValuesFrom,"{""n4sch__name"":CajunSpiceTopping,""skos__prefLabel"":Cajun Spice,""rdfs__label"":CoberturaDeCajun,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#CajunSpiceTopping,""n4sch__label"":CoberturaDeCajun}"
"{""n4sch__name"":HerbSpiceTopping,""skos__prefLabel"":Herb Spice,""rdfs__label"":HerbSpiceTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#HerbSpiceTopping,""n4sch__label"":HerbSpiceTopping}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""n4sch__name"":CajunSpiceTopping,""skos__prefLabel"":Cajun Spice,""rdfs__label"":CoberturaDeCajun,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#CajunSpiceTopping,""n4sch__label"":CoberturaDeCajun}"
"{""uri"":bnode://node1f07tfve2x1183}",[Resource],{},rdf__first,"{""n4sch__name"":CajunSpiceTopping,""skos__prefLabel"":Cajun Spice,""rdfs__label"":CoberturaDeCajun,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#CajunSpiceTopping,""n4sch__label"":CoberturaDeCajun}"
"{""uri"":bnode://node1f07tfve2x991}","[Resource,owl__Restriction]",{},rdfs__subClassOf,"{""n4sch__name"":CajunSpiceTopping,""skos__prefLabel"":Cajun Spice,""rdfs__label"":CoberturaDeCajun,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#CajunSpiceTopping,""n4sch__label"":CoberturaDeCajun}"
"{""n4sch__name"":RosemaryTopping,""skos__prefLabel"":Rosemary,""rdfs__label"":RosemaryTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#RosemaryTopping,""n4sch__label"":RosemaryTopping}","[Resource,owl__Class,n4sch__Class]",{},owl__disjointWith,"{""n4sch__name"":CajunSpiceTopping,""skos__prefLabel"":Cajun Spice,""rdfs__label"":CoberturaDeCajun,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#CajunSpiceTopping,""n4sch__label"":CoberturaDeCajun}"
"{""n4sch__name"":HerbSpiceTopping,""skos__prefLabel"":Herb Spice,""rdfs__label"":HerbSpiceTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#HerbSpiceTopping,""n4sch__label"":HerbSpiceTopping}","[Resource,owl__Class,n4sch__Class]",{},n4sch__SCO,"{""n4sch__name"":CajunSpiceTopping,""skos__prefLabel"":Cajun Spice,""rdfs__label"":CoberturaDeCajun,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#CajunSpiceTopping,""n4sch__label"":CoberturaDeCajun}"
"{""n4sch__name"":VegetableTopping,""skos__prefLabel"":Vegetable Topping,""rdfs__label"":VegetableTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#VegetableTopping,""n4sch__label"":VegetableTopping}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""n4sch__name"":LeekTopping,""skos__prefLabel"":Leek,""rdfs__label"":LeekTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#LeekTopping,""n4sch__label"":LeekTopping}"
"{""uri"":bnode://node1f07tfve2x1380}",[Resource],{},rdf__first,"{""n4sch__name"":LeekTopping,""skos__prefLabel"":Leek,""rdfs__label"":LeekTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#LeekTopping,""n4sch__label"":LeekTopping}"
"{""uri"":bnode://node1f07tfve2x1084}",[Resource],{},rdf__first,"{""n4sch__name"":LeekTopping,""skos__prefLabel"":Leek,""rdfs__label"":LeekTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#LeekTopping,""n4sch__label"":LeekTopping}"
"{""uri"":bnode://node1f07tfve2x1197}",[Resource],{},rdf__first,"{""n4sch__name"":LeekTopping,""skos__prefLabel"":Leek,""rdfs__label"":LeekTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#LeekTopping,""n4sch__label"":LeekTopping}"
"{""uri"":bnode://node1f07tfve2x1074}","[Resource,owl__Restriction]",{},owl__someValuesFrom,"{""n4sch__name"":LeekTopping,""skos__prefLabel"":Leek,""rdfs__label"":LeekTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#LeekTopping,""n4sch__label"":LeekTopping}"
"{""uri"":bnode://node1f07tfve2x1114}","[Resource,owl__Restriction]",{},rdfs__subClassOf,"{""n4sch__name"":LeekTopping,""skos__prefLabel"":Leek,""rdfs__label"":LeekTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#LeekTopping,""n4sch__label"":LeekTopping}"
"{""uri"":bnode://node1f07tfve2x1190}","[Resource,owl__Restriction]",{},owl__someValuesFrom,"{""n4sch__name"":LeekTopping,""skos__prefLabel"":Leek,""rdfs__label"":LeekTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#LeekTopping,""n4sch__label"":LeekTopping}"
"{""n4sch__name"":VegetableTopping,""skos__prefLabel"":Vegetable Topping,""rdfs__label"":VegetableTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#VegetableTopping,""n4sch__label"":VegetableTopping}","[Resource,owl__Class,n4sch__Class]",{},n4sch__SCO,"{""n4sch__name"":LeekTopping,""skos__prefLabel"":Leek,""rdfs__label"":LeekTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#LeekTopping,""n4sch__label"":LeekTopping}"
"{""uri"":bnode://node1f07tfve2x1258}","[Resource,owl__Restriction]",{},rdfs__subClassOf,"{""skos__prefLabel"":Soho,""n4sch__label"":Soho,""skos__altLabel"":Soho Pizza,""n4sch__name"":Soho,""rdfs__label"":Soho,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Soho}"
"{""uri"":bnode://node1f07tfve2x1252}","[Resource,owl__Restriction]",{},rdfs__subClassOf,"{""skos__prefLabel"":Soho,""n4sch__label"":Soho,""skos__altLabel"":Soho Pizza,""n4sch__name"":Soho,""rdfs__label"":Soho,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Soho}"
"{""uri"":bnode://node1f07tfve2x1256}","[Resource,owl__Restriction]",{},rdfs__subClassOf,"{""skos__prefLabel"":Soho,""n4sch__label"":Soho,""skos__altLabel"":Soho Pizza,""n4sch__name"":Soho,""rdfs__label"":Soho,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Soho}"
"{""uri"":bnode://node1f07tfve2x1254}","[Resource,owl__Restriction]",{},rdfs__subClassOf,"{""skos__prefLabel"":Soho,""n4sch__label"":Soho,""skos__altLabel"":Soho Pizza,""n4sch__name"":Soho,""rdfs__label"":Soho,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Soho}"
"{""uri"":bnode://node1f07tfve2x1257}","[Resource,owl__Restriction]",{},rdfs__subClassOf,"{""skos__prefLabel"":Soho,""n4sch__label"":Soho,""skos__altLabel"":Soho Pizza,""n4sch__name"":Soho,""rdfs__label"":Soho,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Soho}"
"{""uri"":bnode://node1f07tfve2x1255}","[Resource,owl__Restriction]",{},rdfs__subClassOf,"{""skos__prefLabel"":Soho,""n4sch__label"":Soho,""skos__altLabel"":Soho Pizza,""n4sch__name"":Soho,""rdfs__label"":Soho,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Soho}"
"{""uri"":bnode://node1f07tfve2x1253}","[Resource,owl__Restriction]",{},rdfs__subClassOf,"{""skos__prefLabel"":Soho,""n4sch__label"":Soho,""skos__altLabel"":Soho Pizza,""n4sch__name"":Soho,""rdfs__label"":Soho,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Soho}"
"{""uri"":bnode://node1f07tfve2x1368}",[Resource],{},rdf__first,"{""skos__prefLabel"":Soho,""n4sch__label"":Soho,""skos__altLabel"":Soho Pizza,""n4sch__name"":Soho,""rdfs__label"":Soho,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Soho}"
"{""n4sch__comment"":A pizza that can be found on a pizza menu,""rdfs__comment"":A pizza that can be found on a pizza menu,""n4sch__label"":PizzaComUmNome,""n4sch__name"":NamedPizza,""rdfs__label"":PizzaComUmNome,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""skos__prefLabel"":Soho,""n4sch__label"":Soho,""skos__altLabel"":Soho Pizza,""n4sch__name"":Soho,""rdfs__label"":Soho,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Soho}"
"{""n4sch__comment"":A pizza that can be found on a pizza menu,""rdfs__comment"":A pizza that can be found on a pizza menu,""n4sch__label"":PizzaComUmNome,""n4sch__name"":NamedPizza,""rdfs__label"":PizzaComUmNome,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza}","[Resource,owl__Class,n4sch__Class]",{},n4sch__SCO,"{""skos__prefLabel"":Soho,""n4sch__label"":Soho,""skos__altLabel"":Soho Pizza,""n4sch__name"":Soho,""rdfs__label"":Soho,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Soho}"
"{""skos__prefLabel"":Prince Carlo,""n4sch__label"":PrinceCarlo,""skos__altLabel"":Prince Carlo Pizza,""n4sch__name"":PrinceCarlo,""rdfs__label"":PrinceCarlo,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#PrinceCarlo}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""n4sch__comment"":A pizza that can be found on a pizza menu,""rdfs__comment"":A pizza that can be found on a pizza menu,""n4sch__label"":PizzaComUmNome,""n4sch__name"":NamedPizza,""rdfs__label"":PizzaComUmNome,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza}"
"{""skos__prefLabel"":Cajun,""n4sch__label"":Cajun,""skos__altLabel"":Cajun Pizza,""n4sch__name"":Cajun,""rdfs__label"":Cajun,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Cajun}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""n4sch__comment"":A pizza that can be found on a pizza menu,""rdfs__comment"":A pizza that can be found on a pizza menu,""n4sch__label"":PizzaComUmNome,""n4sch__name"":NamedPizza,""rdfs__label"":PizzaComUmNome,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza}"
"{""skos__prefLabel"":La Reine,""n4sch__label"":LaReine,""skos__altLabel"":La Reine Pizza,""n4sch__name"":LaReine,""rdfs__label"":LaReine,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#LaReine}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""n4sch__comment"":A pizza that can be found on a pizza menu,""rdfs__comment"":A pizza that can be found on a pizza menu,""n4sch__label"":PizzaComUmNome,""n4sch__name"":NamedPizza,""rdfs__label"":PizzaComUmNome,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza}"
"{""skos__prefLabel"":Capricciosa,""n4sch__label"":Capricciosa,""skos__altLabel"":Capricciosa Pizza,""n4sch__name"":Capricciosa,""rdfs__label"":Capricciosa,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Capricciosa}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""n4sch__comment"":A pizza that can be found on a pizza menu,""rdfs__comment"":A pizza that can be found on a pizza menu,""n4sch__label"":PizzaComUmNome,""n4sch__name"":NamedPizza,""rdfs__label"":PizzaComUmNome,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza}"
"{""skos__prefLabel"":Veneziana,""n4sch__label"":Veneziana,""skos__altLabel"":Veneziana Pizza,""n4sch__name"":Veneziana,""rdfs__label"":Veneziana,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Veneziana}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""n4sch__comment"":A pizza that can be found on a pizza menu,""rdfs__comment"":A pizza that can be found on a pizza menu,""n4sch__label"":PizzaComUmNome,""n4sch__name"":NamedPizza,""rdfs__label"":PizzaComUmNome,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza}"
"{""skos__prefLabel"":Caprina,""n4sch__label"":Caprina,""skos__altLabel"":Caprina Pizza,""n4sch__name"":Caprina,""rdfs__label"":Caprina,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Caprina}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""n4sch__comment"":A pizza that can be found on a pizza menu,""rdfs__comment"":A pizza that can be found on a pizza menu,""n4sch__label"":PizzaComUmNome,""n4sch__name"":NamedPizza,""rdfs__label"":PizzaComUmNome,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza}"
"{""skos__prefLabel"":Four Seasons,""n4sch__label"":QuatroQueijos,""skos__altLabel"":Four Seasons Pizza,""n4sch__name"":FourSeasons,""rdfs__label"":QuatroQueijos,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#FourSeasons}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""n4sch__comment"":A pizza that can be found on a pizza menu,""rdfs__comment"":A pizza that can be found on a pizza menu,""n4sch__label"":PizzaComUmNome,""n4sch__name"":NamedPizza,""rdfs__label"":PizzaComUmNome,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza}"
"{""skos__prefLabel"":Rosa,""n4sch__label"":Rosa,""skos__altLabel"":Rosa Pizza,""n4sch__name"":Rosa,""rdfs__label"":Rosa,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Rosa}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""n4sch__comment"":A pizza that can be found on a pizza menu,""rdfs__comment"":A pizza that can be found on a pizza menu,""n4sch__label"":PizzaComUmNome,""n4sch__name"":NamedPizza,""rdfs__label"":PizzaComUmNome,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza}"
"{""skos__prefLabel"":Margherita,""n4sch__label"":Margherita,""skos__altLabel"":Margherita Pizza,""n4sch__name"":Margherita,""rdfs__label"":Margherita,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Margherita}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""n4sch__comment"":A pizza that can be found on a pizza menu,""rdfs__comment"":A pizza that can be found on a pizza menu,""n4sch__label"":PizzaComUmNome,""n4sch__name"":NamedPizza,""rdfs__label"":PizzaComUmNome,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza}"
"{""skos__prefLabel"":Pollo Ad Astra,""n4sch__label"":PolloAdAstra,""skos__altLabel"":Pollo Ad Astra Pizza,""n4sch__name"":PolloAdAstra,""rdfs__label"":PolloAdAstra,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#PolloAdAstra}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""n4sch__comment"":A pizza that can be found on a pizza menu,""rdfs__comment"":A pizza that can be found on a pizza menu,""n4sch__label"":PizzaComUmNome,""n4sch__name"":NamedPizza,""rdfs__label"":PizzaComUmNome,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza}"
"{""skos__prefLabel"":Giardiniera,""n4sch__label"":Giardiniera,""skos__altLabel"":Giardiniera Pizza,""n4sch__name"":Giardiniera,""rdfs__label"":Giardiniera,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Giardiniera}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""n4sch__comment"":A pizza that can be found on a pizza menu,""rdfs__comment"":A pizza that can be found on a pizza menu,""n4sch__label"":PizzaComUmNome,""n4sch__name"":NamedPizza,""rdfs__label"":PizzaComUmNome,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza}"
"{""skos__prefLabel"":Mushroom,""n4sch__label"":Mushroom,""skos__altLabel"":Mushroom Pizza,""n4sch__name"":Mushroom,""rdfs__label"":Mushroom,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Mushroom}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""n4sch__comment"":A pizza that can be found on a pizza menu,""rdfs__comment"":A pizza that can be found on a pizza menu,""n4sch__label"":PizzaComUmNome,""n4sch__name"":NamedPizza,""rdfs__label"":PizzaComUmNome,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza}"
"{""skos__prefLabel"":Napoletana,""n4sch__label"":Napoletana,""skos__altLabel"":Napoletana Pizza,""n4sch__name"":Napoletana,""rdfs__label"":Napoletana,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Napoletana}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""n4sch__comment"":A pizza that can be found on a pizza menu,""rdfs__comment"":A pizza that can be found on a pizza menu,""n4sch__label"":PizzaComUmNome,""n4sch__name"":NamedPizza,""rdfs__label"":PizzaComUmNome,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza}"
"{""n4sch__name"":Pizza,""skos__prefLabel"":Pizza,""rdfs__label"":Pizza,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Pizza,""n4sch__label"":Pizza}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""n4sch__comment"":A pizza that can be found on a pizza menu,""rdfs__comment"":A pizza that can be found on a pizza menu,""n4sch__label"":PizzaComUmNome,""n4sch__name"":NamedPizza,""rdfs__label"":PizzaComUmNome,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza}"
"{""skos__prefLabel"":American,""n4sch__label"":Americana,""skos__altLabel"":American Pizza,""n4sch__name"":American,""rdfs__label"":Americana,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#American}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""n4sch__comment"":A pizza that can be found on a pizza menu,""rdfs__comment"":A pizza that can be found on a pizza menu,""n4sch__label"":PizzaComUmNome,""n4sch__name"":NamedPizza,""rdfs__label"":PizzaComUmNome,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza}"
"{""skos__prefLabel"":Quattro Formaggi,""n4sch__label"":QuattroFormaggi,""skos__altLabel"":Quattro Formaggi Pizza,""n4sch__name"":QuattroFormaggi,""rdfs__label"":QuattroFormaggi,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#QuattroFormaggi}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""n4sch__comment"":A pizza that can be found on a pizza menu,""rdfs__comment"":A pizza that can be found on a pizza menu,""n4sch__label"":PizzaComUmNome,""n4sch__name"":NamedPizza,""rdfs__label"":PizzaComUmNome,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza}"
"{""skos__prefLabel"":Frutti Di Mare,""n4sch__label"":FruttiDiMare,""skos__altLabel"":Frutti Di Mare Pizza,""n4sch__name"":FruttiDiMare,""rdfs__label"":FruttiDiMare,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#FruttiDiMare}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""n4sch__comment"":A pizza that can be found on a pizza menu,""rdfs__comment"":A pizza that can be found on a pizza menu,""n4sch__label"":PizzaComUmNome,""n4sch__name"":NamedPizza,""rdfs__label"":PizzaComUmNome,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza}"
"{""skos__prefLabel"":Sloppy Giuseppe,""n4sch__label"":SloppyGiuseppe,""skos__altLabel"":Sloppy Giuseppe Pizza,""n4sch__name"":SloppyGiuseppe,""rdfs__label"":SloppyGiuseppe,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#SloppyGiuseppe}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""n4sch__comment"":A pizza that can be found on a pizza menu,""rdfs__comment"":A pizza that can be found on a pizza menu,""n4sch__label"":PizzaComUmNome,""n4sch__name"":NamedPizza,""rdfs__label"":PizzaComUmNome,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza}"
"{""skos__prefLabel"":American Hot,""n4sch__label"":AmericanaPicante,""skos__altLabel"":American Hot Pizza,""n4sch__name"":AmericanHot,""rdfs__label"":AmericanaPicante,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#AmericanHot}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""n4sch__comment"":A pizza that can be found on a pizza menu,""rdfs__comment"":A pizza that can be found on a pizza menu,""n4sch__label"":PizzaComUmNome,""n4sch__name"":NamedPizza,""rdfs__label"":PizzaComUmNome,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza}"
"{""skos__prefLabel"":Siciliana,""n4sch__label"":Siciliana,""skos__altLabel"":Siciliana Pizza,""n4sch__name"":Siciliana,""rdfs__label"":Siciliana,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Siciliana}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""n4sch__comment"":A pizza that can be found on a pizza menu,""rdfs__comment"":A pizza that can be found on a pizza menu,""n4sch__label"":PizzaComUmNome,""n4sch__name"":NamedPizza,""rdfs__label"":PizzaComUmNome,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza}"
"{""skos__prefLabel"":Parmense,""n4sch__label"":Parmense,""skos__altLabel"":Parmese Pizza,""n4sch__name"":Parmense,""rdfs__label"":Parmense,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Parmense}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""n4sch__comment"":A pizza that can be found on a pizza menu,""rdfs__comment"":A pizza that can be found on a pizza menu,""n4sch__label"":PizzaComUmNome,""n4sch__name"":NamedPizza,""rdfs__label"":PizzaComUmNome,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza}"
"{""skos__prefLabel"":Soho,""n4sch__label"":Soho,""skos__altLabel"":Soho Pizza,""n4sch__name"":Soho,""rdfs__label"":Soho,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Soho}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""n4sch__comment"":A pizza that can be found on a pizza menu,""rdfs__comment"":A pizza that can be found on a pizza menu,""n4sch__label"":PizzaComUmNome,""n4sch__name"":NamedPizza,""rdfs__label"":PizzaComUmNome,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza}"
"{""skos__prefLabel"":Fiorentina,""n4sch__label"":Fiorentina,""skos__altLabel"":Fiorentina Pizza,""n4sch__name"":Fiorentina,""rdfs__label"":Fiorentina,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Fiorentina}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""n4sch__comment"":A pizza that can be found on a pizza menu,""rdfs__comment"":A pizza that can be found on a pizza menu,""n4sch__label"":PizzaComUmNome,""n4sch__name"":NamedPizza,""rdfs__label"":PizzaComUmNome,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza}"
"{""skos__prefLabel"":La Reine,""n4sch__label"":LaReine,""skos__altLabel"":La Reine Pizza,""n4sch__name"":LaReine,""rdfs__label"":LaReine,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#LaReine}","[Resource,owl__Class,n4sch__Class]",{},n4sch__SCO,"{""n4sch__comment"":A pizza that can be found on a pizza menu,""rdfs__comment"":A pizza that can be found on a pizza menu,""n4sch__label"":PizzaComUmNome,""n4sch__name"":NamedPizza,""rdfs__label"":PizzaComUmNome,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza}"
"{""skos__prefLabel"":Frutti Di Mare,""n4sch__label"":FruttiDiMare,""skos__altLabel"":Frutti Di Mare Pizza,""n4sch__name"":FruttiDiMare,""rdfs__label"":FruttiDiMare,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#FruttiDiMare}","[Resource,owl__Class,n4sch__Class]",{},n4sch__SCO,"{""n4sch__comment"":A pizza that can be found on a pizza menu,""rdfs__comment"":A pizza that can be found on a pizza menu,""n4sch__label"":PizzaComUmNome,""n4sch__name"":NamedPizza,""rdfs__label"":PizzaComUmNome,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza}"
"{""skos__prefLabel"":Rosa,""n4sch__label"":Rosa,""skos__altLabel"":Rosa Pizza,""n4sch__name"":Rosa,""rdfs__label"":Rosa,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Rosa}","[Resource,owl__Class,n4sch__Class]",{},n4sch__SCO,"{""n4sch__comment"":A pizza that can be found on a pizza menu,""rdfs__comment"":A pizza that can be found on a pizza menu,""n4sch__label"":PizzaComUmNome,""n4sch__name"":NamedPizza,""rdfs__label"":PizzaComUmNome,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza}"
"{""skos__prefLabel"":Quattro Formaggi,""n4sch__label"":QuattroFormaggi,""skos__altLabel"":Quattro Formaggi Pizza,""n4sch__name"":QuattroFormaggi,""rdfs__label"":QuattroFormaggi,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#QuattroFormaggi}","[Resource,owl__Class,n4sch__Class]",{},n4sch__SCO,"{""n4sch__comment"":A pizza that can be found on a pizza menu,""rdfs__comment"":A pizza that can be found on a pizza menu,""n4sch__label"":PizzaComUmNome,""n4sch__name"":NamedPizza,""rdfs__label"":PizzaComUmNome,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza}"
"{""skos__prefLabel"":Cajun,""n4sch__label"":Cajun,""skos__altLabel"":Cajun Pizza,""n4sch__name"":Cajun,""rdfs__label"":Cajun,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Cajun}","[Resource,owl__Class,n4sch__Class]",{},n4sch__SCO,"{""n4sch__comment"":A pizza that can be found on a pizza menu,""rdfs__comment"":A pizza that can be found on a pizza menu,""n4sch__label"":PizzaComUmNome,""n4sch__name"":NamedPizza,""rdfs__label"":PizzaComUmNome,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza}"
"{""skos__prefLabel"":Capricciosa,""n4sch__label"":Capricciosa,""skos__altLabel"":Capricciosa Pizza,""n4sch__name"":Capricciosa,""rdfs__label"":Capricciosa,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Capricciosa}","[Resource,owl__Class,n4sch__Class]",{},n4sch__SCO,"{""n4sch__comment"":A pizza that can be found on a pizza menu,""rdfs__comment"":A pizza that can be found on a pizza menu,""n4sch__label"":PizzaComUmNome,""n4sch__name"":NamedPizza,""rdfs__label"":PizzaComUmNome,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza}"
"{""skos__prefLabel"":Mushroom,""n4sch__label"":Mushroom,""skos__altLabel"":Mushroom Pizza,""n4sch__name"":Mushroom,""rdfs__label"":Mushroom,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Mushroom}","[Resource,owl__Class,n4sch__Class]",{},n4sch__SCO,"{""n4sch__comment"":A pizza that can be found on a pizza menu,""rdfs__comment"":A pizza that can be found on a pizza menu,""n4sch__label"":PizzaComUmNome,""n4sch__name"":NamedPizza,""rdfs__label"":PizzaComUmNome,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza}"
